"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","13333250000","12933585000","2.05","6650000","","","/mutual-fund/holding-history/10901/533/"
"Multi Commodity Exchange of India Ltd","MCX","534091","Financial Services","16710918280","12220368000","1.94","1851010","","","/mutual-fund/holding-history/10901/853/"
"Kirloskar Brothers Ltd","KIRLOSBROS","500241","Industrials","9915606636","8104394000","1.29","4472130","","","/mutual-fund/holding-history/10901/744/"
"Tube Investments of India Ltd Ordinary Shares","TIINDIA","540762","Industrials","7363457778.6","7652868000","1.21","2499222","","","/mutual-fund/holding-history/10901/67548/"
"State Bank of India","SBIN","500112","Financial Services","7385560000","7391930000","1.17","9100000","","","/mutual-fund/holding-history/10901/1193/"
"Apar Industries Ltd","APARINDS","532259","Industrials","8030939665.5","7296685000","1.16","899271","","","/mutual-fund/holding-history/10901/88/"
"Bharat Heavy Electricals Ltd","BHEL","500103","Industrials","7129375000","7145325000","1.13","27500000","","","/mutual-fund/holding-history/10901/189/"
"Karur Vysya Bank Ltd","KARURVYSYA","590003","Financial Services","8540377459.4","7046209000","1.12","31784062","","","/mutual-fund/holding-history/10901/721/"
"Pfizer Ltd","PFIZER","500680","Healthcare","6889260336","6770218000","1.07","1206103","","","/mutual-fund/holding-history/10901/1027/"
"Paradeep Phosphates Ltd","PARADEEP","543530","Basic Materials","6259195901.06","6726556000","1.07","39044326","","","/mutual-fund/holding-history/10901/895889/"
"NLC India Ltd","NLCINDIA","513683","Utilities","6239505001.8","6572594000","1.04","27190940","","","/mutual-fund/holding-history/10901/935/"
"Zydus Wellness Ltd","ZYDUSWELL","531335","Consumer Defensive","6693101587.4","6533894000","1.04","3351746","33708","1.02","/mutual-fund/holding-history/10901/1550/"
"Balrampur Chini Mills Ltd","BALRAMCHIN","500038","Consumer Defensive","6482476623.15","6529487000","1.04","11061303","","","/mutual-fund/holding-history/10901/157/"
"eClerx Services Ltd","ECLERX","532927","Technology","6114932634","6242349000","0.99","1762330","","","/mutual-fund/holding-history/10901/356/"
"AWL Agri Business Ltd","AWL","543458","Consumer Defensive","5805199162.6","6182919000","0.98","22483343","","","/mutual-fund/holding-history/10901/755501/"
"TD Power Systems Ltd","TDPOWERSYS","533553","Industrials","5833524302.4","6059792000","0.96","11633312","-825000","-6.62","/mutual-fund/holding-history/10901/1373/"
"ELANTAS Beck India Ltd","","500123","Basic Materials","7523255286.6","5975443000","0.95","614748","","","/mutual-fund/holding-history/10901/2035/"
"Emami Ltd","EMAMILTD","531162","Consumer Defensive","5649073391.6","5824548000","0.92","9970126","","","/mutual-fund/holding-history/10901/374/"
"PNB Housing Finance Ltd","PNBHOUSING","540173","Financial Services","5931000818.4","5708643000","0.91","5463339","1073987","24.47","/mutual-fund/holding-history/10901/4826/"
"Radico Khaitan Ltd","RADICO","532497","Consumer Defensive","5685941757","5645376000","0.9","2228907","","","/mutual-fund/holding-history/10901/1090/"
