"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Timken India Ltd","TIMKEN","522113","Industrials","3800866092.8","3700208000","0.59","1184218","","","/mutual-fund/holding-history/10906/1399/"
"Fine Organic Industries Ltd Ordinary Shares","FINEORG","541557","Basic Materials","3590067183.6","3674614000","0.58","785023","","","/mutual-fund/holding-history/10906/92286/"
"Vishal Mega Mart Ltd","VMM","544307","Consumer Cyclical","3552752960.4","3538560000","0.56","28385690","","","/mutual-fund/holding-history/10906/2839786/"
"Jyothy Labs Ltd","JYOTHYLAB","532926","Consumer Defensive","3346571022.2","3520558000","0.56","10204516","183276","1.83","/mutual-fund/holding-history/10906/706/"
"MAS Financial Services Ltd Ordinary Shares","MASFIN","540749","Financial Services","3455033444.6","3515920000","0.56","11938609","2342169","24.41","/mutual-fund/holding-history/10906/62997/"
"Krishna Institute of Medical Sciences Ltd","KIMS","543308","Healthcare","3280000000","3506781000","0.56","5125000","","","/mutual-fund/holding-history/10906/555690/"
"Crompton Greaves Consumer Electricals Ltd","CROMPTON","539876","Consumer Cyclical","3399606645.5","3502324000","0.56","9924410","","","/mutual-fund/holding-history/10906/2020/"
"Kirloskar Oil Engines Ltd","KIRLOSENG","533293","Industrials","3180310292.5","3419991000","0.54","3780458","","","/mutual-fund/holding-history/10906/745/"
"Sundaram Finance Holdings Ltd","SUNDARMHLD","","Financial Services","4154157886.05","3345360000","0.53","8848989","","","/mutual-fund/holding-history/10906/87798/"
"Avalon Technologies Ltd","AVALON","543896","Technology","3169255096.8","3258300000","0.52","3789162","","","/mutual-fund/holding-history/10906/1416031/"
"Carborundum Universal Ltd","CARBORUNIV","513375","Industrials","3032746003.4","3238804000","0.51","3265582","","","/mutual-fund/holding-history/10906/238/"
"Bayer CropScience Ltd","BAYERCROP","506285","Basic Materials","3117512064","3179269000","0.5","559898","","","/mutual-fund/holding-history/10906/169/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","3179676960","3158345000","0.5","592560","","","/mutual-fund/holding-history/10906/1784/"
"Voltas Ltd","VOLTAS","500575","Consumer Cyclical","3161943502.2","3153204000","0.5","2496994","","","/mutual-fund/holding-history/10906/1500/"
"Styrenix Performance Materials Ltd","STYRENIX","506222","Basic Materials","3300979828.3","3140826000","0.5","995981","","","/mutual-fund/holding-history/10906/1300/"
